Research ID,Raw Skill,Skill Tag,Correlation Coefficient
70241308,financial data,ESCO.7,0.8845625408581438
70241308,financial data,ESCO.12,0.8715494414881902
70241308,financial data,ESCO.25,0.8776587681557584
70241308,financial data,ESCO.33,0.9228480316680742
70241308,financial data,ESCO.44,0.9179081553665875
70241308,financial data,ESCO.70,0.8932571764840672
70241308,financial data,ESCO.192,0.8969676523208019
70241308,financial data,ESCO.223,0.8745885090447924
70241308,financial data,ESCO.224,0.8909803385493228
70241308,financial data,ESCO.229,0.9094396209504814
70241308,financial data,ESCO.299,0.9002227590486476
70241308,financial data,ESCO.315,0.8626774394841255
70241308,financial data,ESCO.341,0.8586981966863073
70241308,financial data,ESCO.354,0.9185874338521507
70241308,financial data,ESCO.373,0.8556886386719151
70241308,financial data,ESCO.394,0.8502913268916279
70241308,financial data,ESCO.409,0.90601481076672
70241308,financial data,ESCO.433,0.9325686410378344
70241308,financial data,ESCO.508,0.9164717023428105
70241308,financial data,ESCO.535,0.8784030166836497
70241308,financial data,ESCO.566,0.8700566368708665
70241308,financial data,ESCO.611,0.8508282692556616
70241308,financial data,ESCO.646,0.8603705021677394
70241308,financial data,ESCO.686,0.8610886430334038
70241308,financial data,ESCO.757,0.9293943586923527
70241308,financial data,ESCO.766,0.9099242742064144
70241308,financial data,ESCO.793,0.8722142430696428
70241308,financial data,ESCO.795,0.9302216558574267
70241308,financial data,ESCO.815,0.894680340107428
70241308,financial data,ESCO.816,0.9187753214515231
70241308,financial data,ESCO.831,0.9007723870104889
70241308,financial data,ESCO.841,0.8844056968457451
70241308,financial data,ESCO.843,0.8887081692927331
70241308,financial data,ESCO.864,0.9154888611961818
70241308,financial data,ESCO.976,0.8757027267286794
70241308,financial data,ESCO.991,0.9312837719732631
70241308,financial data,ESCO.1019,0.8951226454808441
70241308,financial data,ESCO.1125,0.9165852940977617
70241308,financial data,ESCO.1133,0.9130395509047241
70241308,financial data,ESCO.1186,0.8942065886333488
70241308,financial data,ESCO.1211,0.910012778844034
70241308,financial data,ESCO.1214,0.8666964392709895
70241308,financial data,ESCO.1243,0.8729159336050416
70241308,financial data,ESCO.1255,0.8513845448704085
70241308,financial data,ESCO.1265,0.8657171871617041
70241308,financial data,ESCO.1267,0.8959693002779912
70241308,financial data,ESCO.1276,0.8840394309278181
70241308,sql databases,ESCO.322,0.9106679892472246
70241308,data analysis,ESCO.7,0.8708454539762926
70241308,data analysis,ESCO.12,0.8624531955030054
70241308,data analysis,ESCO.25,0.9202907753669797
70241308,data analysis,ESCO.33,0.9394292081660005
70241308,data analysis,ESCO.44,0.9188460352511397
70241308,data analysis,ESCO.70,0.9007679395931137
70241308,data analysis,ESCO.192,0.8937881379723398
70241308,data analysis,ESCO.223,0.910918774771241
70241308,data analysis,ESCO.224,0.9566468902003245
70241308,data analysis,ESCO.229,0.911663047968875
70241308,data analysis,ESCO.299,0.9108551013237081
70241308,data analysis,ESCO.315,0.8596525211587119
70241308,data analysis,ESCO.341,0.8642313864345577
70241308,data analysis,ESCO.350,0.862148271296818
70241308,data analysis,ESCO.354,0.9411991266297812
70241308,data analysis,ESCO.394,0.866877669682327
70241308,data analysis,ESCO.409,0.9545954979327876
70241308,data analysis,ESCO.433,0.9296422282066729
70241308,data analysis,ESCO.508,0.9380345555569135
70241308,data analysis,ESCO.535,0.9154169891636849
70241308,data analysis,ESCO.566,0.8686100165933347
70241308,data analysis,ESCO.611,0.851811832249428
70241308,data analysis,ESCO.757,0.9671367036903882
70241308,data analysis,ESCO.766,0.8914475238752242
70241308,data analysis,ESCO.793,0.8925421617033469
70241308,data analysis,ESCO.795,0.905762457334386
70241308,data analysis,ESCO.815,0.8749665513583876
70241308,data analysis,ESCO.816,0.9167189632801281
70241308,data analysis,ESCO.831,0.9220827335870115
70241308,data analysis,ESCO.841,0.9024371129773651
70241308,data analysis,ESCO.843,0.8772471261580536
70241308,data analysis,ESCO.864,0.8965772149598188
70241308,data analysis,ESCO.963,0.8718334554324166
70241308,data analysis,ESCO.976,0.9093417684373672
70241308,data analysis,ESCO.991,0.9612125507530166
70241308,data analysis,ESCO.1006,0.8806751076361924
70241308,data analysis,ESCO.1019,0.9115537311624088
70241308,data analysis,ESCO.1056,0.8569678625395902
70241308,data analysis,ESCO.1125,0.9344951045132655
70241308,data analysis,ESCO.1133,0.9074590645912011
70241308,data analysis,ESCO.1186,0.9264045236854276
70241308,data analysis,ESCO.1211,0.9258365716573468
70241308,data analysis,ESCO.1214,0.8710311648688751
70241308,data analysis,ESCO.1243,0.8822194108078946
70241308,data analysis,ESCO.1255,0.8847878306691936
70241308,data analysis,ESCO.1267,0.9000455576445353
70241308,data analysis,ESCO.1276,0.9338674780676606
70241308,data migration,ESCO.7,0.9377235635916096
70241308,data migration,ESCO.12,0.871014663671844
70241308,data migration,ESCO.25,0.8708711281872318
70241308,data migration,ESCO.33,0.9182667888898549
70241308,data migration,ESCO.44,0.8984320943928
70241308,data migration,ESCO.70,0.9092432539533933
70241308,data migration,ESCO.154,0.858478318927711
70241308,data migration,ESCO.192,0.9064188263452451
70241308,data migration,ESCO.223,0.8972238712904019
70241308,data migration,ESCO.224,0.9008237478109478
70241308,data migration,ESCO.229,0.9316262278873899
70241308,data migration,ESCO.299,0.8956809298021224
70241308,data migration,ESCO.315,0.8762044186919491
70241308,data migration,ESCO.341,0.861480833865429
70241308,data migration,ESCO.350,0.8549946160246156
70241308,data migration,ESCO.354,0.9223127595200603
70241308,data migration,ESCO.394,0.8626694358450999
70241308,data migration,ESCO.409,0.9203107252773269
70241308,data migration,ESCO.433,0.9107939521963547
70241308,data migration,ESCO.508,0.9256713330958262
70241308,data migration,ESCO.535,0.9069011206814803
70241308,data migration,ESCO.566,0.8889366911941295
70241308,data migration,ESCO.646,0.8746498094698425
70241308,data migration,ESCO.686,0.8752457665084319
70241308,data migration,ESCO.757,0.9147599093019959
70241308,data migration,ESCO.766,0.905240252672429
70241308,data migration,ESCO.793,0.8887233788454693
70241308,data migration,ESCO.795,0.8953259429628024
70241308,data migration,ESCO.815,0.864132032645612
70241308,data migration,ESCO.816,0.9455264722984011
70241308,data migration,ESCO.831,0.8908325719415122
70241308,data migration,ESCO.841,0.890846867153147
